,u,ssv
0,0.0,0.0
2,0.1,0.049239080399274826
1,0.2,0.9204240024089814
9,0.3,1.8341032266616817
6,0.4,2.9823374271392824
4,0.5,4.51621675491333
3,0.6,6.238422870635986
8,0.7,8.571394157409667
12,0.75,10.07748556137085
5,0.8,11.914477443695068
11,0.825,13.434247779846192
7,0.85,15.263076210021973
10,0.875,17.49859733581543
14,0.9,20.302298927307127
13,0.925,23.910007095336915
