,t,v,throttle,brake
0,0.0,0.0,0.875,0.0
1,0.019999999999999574,0.0,0.875,0.0
2,0.039999999999999133,0.0,0.875,0.0
3,0.05999999999999872,0.0,0.875,0.0
4,0.08000000000000004,0.0037908991798758507,0.875,0.0
5,0.09999999999999964,0.010374401696026323,0.875,0.0
6,0.11999999999999922,0.0208357647061348,0.875,0.0
7,0.1399999999999988,0.0487143024802208,0.875,0.0
8,0.16000000000000014,0.0919411927461624,0.875,0.0
9,0.17999999999999972,0.15118372440338135,0.875,0.0
10,0.1999999999999993,0.2569156289100647,0.875,0.0
11,0.21999999999999886,0.30615290999412537,0.875,0.0
12,0.2400000000000002,0.3998050093650818,0.875,0.0
13,0.2599999999999998,0.4777385890483856,0.875,0.0
14,0.27999999999999936,0.6160019636154175,0.875,0.0
15,0.29999999999999893,0.7385989427566528,0.875,0.0
16,0.3200000000000003,0.8490230441093445,0.875,0.0
17,0.3399999999999999,0.951241672039032,0.875,0.0
18,0.3599999999999994,1.0477577447891235,0.875,0.0
19,0.379999999999999,1.140203833580017,0.875,0.0
20,0.4000000000000004,1.229672908782959,0.875,0.0
21,0.41999999999999993,1.3169165849685671,0.875,0.0
22,0.4399999999999995,1.402463674545288,0.875,0.0
23,0.4599999999999991,1.486695408821106,0.875,0.0
24,0.47999999999999865,1.5698930025100708,0.875,0.0
25,0.5,1.6522669792175293,0.875,0.0
26,0.5199999999999996,1.733978509902954,0.875,0.0
27,0.5399999999999991,1.8151544332504272,0.875,0.0
28,0.5599999999999987,1.895891785621643,0.875,0.0
29,0.5800000000000001,1.9762717485427856,0.875,0.0
30,0.5999999999999996,2.056356906890869,0.875,0.0
31,0.6199999999999992,2.136199712753296,0.875,0.0
32,0.6399999999999988,2.2158424854278564,0.875,0.0
33,0.6600000000000001,2.295321226119995,0.875,0.0
34,0.6799999999999997,2.374664783477783,0.875,0.0
35,0.6999999999999993,2.453898668289185,0.875,0.0
36,0.7199999999999989,2.5330421924591064,0.875,0.0
37,0.7400000000000002,2.6121141910552983,0.875,0.0
38,0.7599999999999998,2.691128253936768,0.875,0.0
39,0.7799999999999994,2.7700979709625244,0.875,0.0
40,0.7999999999999989,2.8490328788757324,0.875,0.0
41,0.8200000000000003,2.927943468093872,0.875,0.0
42,0.8399999999999999,3.006835460662842,0.875,0.0
43,0.8599999999999995,3.08571720123291,0.875,0.0
44,0.8799999999999991,3.1645739078521733,0.875,0.0
45,0.9000000000000004,3.2433412075042725,0.875,0.0
46,0.9199999999999999,3.3219585418701167,0.875,0.0
47,0.9399999999999995,3.4003789424896236,0.875,0.0
48,0.9599999999999991,3.4785616397857666,0.875,0.0
49,0.9799999999999986,3.556471109390259,0.875,0.0
50,1.0,3.6340839862823486,0.875,0.0
51,1.0199999999999996,3.7113738059997563,0.875,0.0
52,1.0399999999999991,3.7883226871490483,0.875,0.0
53,1.0599999999999987,3.864915132522583,0.875,0.0
54,1.08,3.941136598587036,0.875,0.0
55,1.0999999999999994,4.0169758796691895,0.875,0.0
56,1.119999999999999,4.092424392700194,0.875,0.0
57,1.1399999999999988,4.167473316192627,0.875,0.0
58,1.1600000000000001,4.2421183586120605,0.875,0.0
59,1.1799999999999997,4.316351413726807,0.875,0.0
60,1.1999999999999993,4.3901705741882315,0.875,0.0
61,1.2199999999999989,4.463571548461914,0.875,0.0
62,1.2400000000000002,4.536551475524902,0.875,0.0
63,1.26,4.609107494354248,0.875,0.0
64,1.2799999999999996,4.681239604949951,0.875,0.0
65,1.299999999999999,4.752945899963379,0.875,0.0
66,1.3200000000000003,4.824224948883057,0.875,0.0
67,1.3399999999999999,4.895078182220459,0.875,0.0
68,1.3599999999999994,4.965506076812744,0.875,0.0
69,1.379999999999999,5.03580379486084,0.875,0.0
70,1.4000000000000004,5.105403423309326,0.875,0.0
71,1.42,5.174600124359131,0.875,0.0
72,1.4399999999999995,5.243370056152344,0.875,0.0
73,1.459999999999999,5.311714172363281,0.875,0.0
74,1.4799999999999986,5.379634380340576,0.875,0.0
75,1.5,5.447132587432861,0.875,0.0
76,1.5199999999999996,5.514209270477295,0.875,0.0
77,1.5399999999999991,5.58086633682251,0.875,0.0
78,1.5599999999999987,5.647105693817139,0.875,0.0
79,1.58,5.712928771972656,0.875,0.0
80,1.5999999999999994,5.77833890914917,0.875,0.0
81,1.619999999999999,5.843337059020996,0.875,0.0
82,1.6399999999999988,5.907923221588135,0.875,0.0
83,1.6600000000000001,5.97210168838501,0.875,0.0
84,1.6799999999999997,6.035874366760254,0.875,0.0
85,1.6999999999999993,6.0992431640625,0.875,0.0
86,1.7199999999999989,6.162209510803223,0.875,0.0
87,1.7400000000000002,6.2247748374938965,0.875,0.0
88,1.76,6.286943912506104,0.875,0.0
89,1.7799999999999996,6.3487162590026855,0.875,0.0
90,1.7999999999999992,6.410095691680907,0.875,0.0
91,1.8200000000000003,6.471083641052246,0.875,0.0
92,1.8399999999999999,6.531682014465332,0.875,0.0
93,1.8599999999999994,6.59189510345459,0.875,0.0
94,1.879999999999999,6.651723861694336,0.875,0.0
95,1.9000000000000004,6.711169242858888,0.875,0.0
96,1.92,6.770233631134032,0.875,0.0
97,1.9399999999999995,6.828919410705566,0.875,0.0
98,1.9599999999999995,6.887228965759277,0.875,0.0
99,1.9799999999999986,6.945165157318115,0.875,0.0
100,2.0,7.002729892730713,0.875,0.0
101,2.0199999999999996,7.059924602508545,0.875,0.0
102,2.0399999999999996,7.1167521476745605,0.875,0.0
103,2.0599999999999987,7.173213481903076,0.875,0.0
